U+18b6d	𘭭	KHITAN SMALL SCRIPT CHARACTER-18B6D	None
U+18b6e	𘭮	KHITAN SMALL SCRIPT CHARACTER-18B6E	None
U+18b6f	𘭯	KHITAN SMALL SCRIPT CHARACTER-18B6F	None
U+18b70	𘭰	KHITAN SMALL SCRIPT CHARACTER-18B70	None
U+18b71	𘭱	KHITAN SMALL SCRIPT CHARACTER-18B71	None
U+18b72	𘭲	KHITAN SMALL SCRIPT CHARACTER-18B72	None
U+18b73	𘭳	KHITAN SMALL SCRIPT CHARACTER-18B73	None
U+18b74	𘭴	KHITAN SMALL SCRIPT CHARACTER-18B74	None
U+18b75	𘭵	KHITAN SMALL SCRIPT CHARACTER-18B75	None
U+18b76	𘭶	KHITAN SMALL SCRIPT CHARACTER-18B76	None
U+18b77	𘭷	KHITAN SMALL SCRIPT CHARACTER-18B77	None
U+18b78	𘭸	KHITAN SMALL SCRIPT CHARACTER-18B78	None
U+18b79	𘭹	KHITAN SMALL SCRIPT CHARACTER-18B79	None
U+18b7a	𘭺	KHITAN SMALL SCRIPT CHARACTER-18B7A	None
U+18b7b	𘭻	KHITAN SMALL SCRIPT CHARACTER-18B7B	None
U+18b7c	𘭼	KHITAN SMALL SCRIPT CHARACTER-18B7C	None
U+18b7d	𘭽	KHITAN SMALL SCRIPT CHARACTER-18B7D	None
U+18b7e	𘭾	KHITAN SMALL SCRIPT CHARACTER-18B7E	None
U+18b7f	𘭿	KHITAN SMALL SCRIPT CHARACTER-18B7F	None
U+18b80	𘮀	KHITAN SMALL SCRIPT CHARACTER-18B80	None
U+18b81	𘮁	KHITAN SMALL SCRIPT CHARACTER-18B81	None
U+18b82	𘮂	KHITAN SMALL SCRIPT CHARACTER-18B82	None
U+18b83	𘮃	KHITAN SMALL SCRIPT CHARACTER-18B83	None
U+18b84	𘮄	KHITAN SMALL SCRIPT CHARACTER-18B84	None
U+18b85	𘮅	KHITAN SMALL SCRIPT CHARACTER-18B85	None
U+18b86	𘮆	KHITAN SMALL SCRIPT CHARACTER-18B86	None
U+18b87	𘮇	KHITAN SMALL SCRIPT CHARACTER-18B87	None
U+18b88	𘮈	KHITAN SMALL SCRIPT CHARACTER-18B88	None
U+18b89	𘮉	KHITAN SMALL SCRIPT CHARACTER-18B89	None
U+18b8a	𘮊	KHITAN SMALL SCRIPT CHARACTER-18B8A	None
U+18b8b	𘮋	KHITAN SMALL SCRIPT CHARACTER-18B8B	None
U+18b8c	𘮌	KHITAN SMALL SCRIPT CHARACTER-18B8C	None
U+18b8d	𘮍	KHITAN SMALL SCRIPT CHARACTER-18B8D	None
U+18b8e	𘮎	KHITAN SMALL SCRIPT CHARACTER-18B8E	None
U+18b8f	𘮏	KHITAN SMALL SCRIPT CHARACTER-18B8F	None
U+18b90	𘮐	KHITAN SMALL SCRIPT CHARACTER-18B90	None
U+18b91	𘮑	KHITAN SMALL SCRIPT CHARACTER-18B91	None
U+18b92	𘮒	KHITAN SMALL SCRIPT CHARACTER-18B92	None
U+18b93	𘮓	KHITAN SMALL SCRIPT CHARACTER-18B93	None
U+18b94	𘮔	KHITAN SMALL SCRIPT CHARACTER-18B94	None
U+18b95	𘮕	KHITAN SMALL SCRIPT CHARACTER-18B95	None
U+18b96	𘮖	KHITAN SMALL SCRIPT CHARACTER-18B96	None
U+18b97	𘮗	KHITAN SMALL SCRIPT CHARACTER-18B97	None
U+18b98	𘮘	KHITAN SMALL SCRIPT CHARACTER-18B98	None
U+18b99	𘮙	KHITAN SMALL SCRIPT CHARACTER-18B99	None
U+18b9a	𘮚	KHITAN SMALL SCRIPT CHARACTER-18B9A	None
U+18b9b	𘮛	KHITAN SMALL SCRIPT CHARACTER-18B9B	None
U+18b9c	𘮜	KHITAN SMALL SCRIPT CHARACTER-18B9C	None
U+18b9d	𘮝	KHITAN SMALL SCRIPT CHARACTER-18B9D	None
U+18b9e	𘮞	KHITAN SMALL SCRIPT CHARACTER-18B9E	None
U+18b9f	𘮟	KHITAN SMALL SCRIPT CHARACTER-18B9F	None
U+18ba0	𘮠	KHITAN SMALL SCRIPT CHARACTER-18BA0	None
U+18ba1	𘮡	KHITAN SMALL SCRIPT CHARACTER-18BA1	None
U+18ba2	𘮢	KHITAN SMALL SCRIPT CHARACTER-18BA2	None
U+18ba3	𘮣	KHITAN SMALL SCRIPT CHARACTER-18BA3	None
U+18ba4	𘮤	KHITAN SMALL SCRIPT CHARACTER-18BA4	None
U+18ba5	𘮥	KHITAN SMALL SCRIPT CHARACTER-18BA5	None
U+18ba6	𘮦	KHITAN SMALL SCRIPT CHARACTER-18BA6	None
U+18ba7	𘮧	KHITAN SMALL SCRIPT CHARACTER-18BA7	None
U+18ba8	𘮨	KHITAN SMALL SCRIPT CHARACTER-18BA8	None
U+18ba9	𘮩	KHITAN SMALL SCRIPT CHARACTER-18BA9	None
U+18baa	𘮪	KHITAN SMALL SCRIPT CHARACTER-18BAA	None
U+18bab	𘮫	KHITAN SMALL SCRIPT CHARACTER-18BAB	None
U+18bac	𘮬	KHITAN SMALL SCRIPT CHARACTER-18BAC	None
U+18bad	𘮭	KHITAN SMALL SCRIPT CHARACTER-18BAD	None
U+18bae	𘮮	KHITAN SMALL SCRIPT CHARACTER-18BAE	None
U+18baf	𘮯	KHITAN SMALL SCRIPT CHARACTER-18BAF	None
U+18bb0	𘮰	KHITAN SMALL SCRIPT CHARACTER-18BB0	None
U+18bb1	𘮱	KHITAN SMALL SCRIPT CHARACTER-18BB1	None
U+18bb2	𘮲	KHITAN SMALL SCRIPT CHARACTER-18BB2	None
